,season,passer_id,passer,pass,complete_pass,interception,sack,yards_gained,touchdown
237,2001,00-0005113,J.Feagles,2,0.0,0.0,0.0,0.0,0.0
238,2001,00-0005180,J.Fiedler,558,288.0,20.0,30.0,3400.0,25.0
239,2001,00-0005363,D.Flutie,589,294.0,18.0,25.0,3406.0,15.0
240,2001,00-0005589,G.Frerotte,53,30.0,0.0,3.0,287.0,3.0
241,2001,00-0005720,J.Galloway,1,1.0,0.0,0.0,-1.0,0.0
242,2001,00-0005741,R.Gannon,693,401.0,9.0,29.0,4301.0,31.0
243,2001,00-0005755,J.Garcia,602,338.0,13.0,28.0,3738.0,39.0
244,2001,00-0005885,J.George,49,23.0,3.0,6.0,130.0,0.0
245,2001,00-0006101,T.Gonzalez,1,1.0,0.0,0.0,40.0,0.0
246,2001,00-0006212,K.Graham,22,13.0,0.0,2.0,115.0,2.0
247,2001,00-0006223,M.Gramatica,1,0.0,0.0,0.0,0.0,0.0
248,2001,00-0006300,E.Grbac,586,295.0,21.0,32.0,3087.0,20.0
249,2001,00-0006355,T.Green,610,296.0,24.0,39.0,3645.0,18.0
250,2001,00-0006423,B.Griese,519,275.0,19.0,38.0,2641.0,26.0
251,2001,00-0006627,A.Hakim,1,1.0,0.0,0.0,51.0,1.0
252,2001,00-0007091,M.Hasselbeck,392,176.0,8.0,38.0,1882.0,8.0
253,2001,00-0007308,C.Hentrich,2,0.0,1.0,0.0,0.0,0.0
254,2001,00-0007576,K.Holcomb,13,7.0,0.0,0.0,114.0,1.0
255,2001,00-0007744,J.Horn,1,0.0,0.0,0.0,0.0,0.0
256,2001,00-0007834,B.Huard,19,9.0,0.0,1.0,133.0,1.0
257,2001,00-0007969,R.Huntley,2,0.0,0.0,1.0,0.0,0.0
258,2001,00-0008401,J.Jett,1,0.0,0.0,0.0,0.0,0.0
259,2001,00-0008442,B.Johnson,679,362.0,15.0,45.0,3407.0,14.0
260,2001,00-0008568,L.Johnson,1,1.0,0.0,0.0,18.0,0.0
261,2001,00-0008612,R.Johnson,280,134.0,7.0,31.0,1406.0,7.0
262,2001,00-0009028,J.Kasay,1,0.0,0.0,0.0,0.0,0.0
263,2001,00-0009266,S.King,34,21.0,1.0,3.0,181.0,0.0
264,2001,00-0009311,J.Kitna,640,313.0,22.0,25.0,3089.0,12.0
265,2001,00-0009715,R.Leaf,105,45.0,3.0,12.0,412.0,3.0
